파일명,한국어,클러스터_ID,클러스터_크기
KETI_SL_RES_0000000016.MOV,환자 나이가 어떻게 되나요?,G2_0_0_C8,5
,환자분 나이대가 어떻게 보이나요?,G2_0_0_C8,5
KETI_SL_RES_0000000092.MOV,눈이 떠져있나요?,G2_0_1_C8,11
KETI_SL_RES_0000000093.MOV,당신과 아이컨택을 하고 있나요?,G2_0_1_C8,11
KETI_SL_RES_0000000099.MOV,산모의 상태는 어떤가요?,G2_0_1_C8,11
KETI_SL_RES_0000000095.MOV,아직 살아있나요?,G2_0_1_C8,11
KETI_SL_RES_0000000094.MOV,지금 환자분 의식이 있는 상태인가요?,G2_0_1_C8,11
KETI_SL_RES_0000000088.MOV,환자 상태가 어떤가요?,G2_0_1_C8,11
KETI_SL_RES_0000000105.MOV,환자 옆에 계속 있어주겠어요?,G2_0_1_C8,11
KETI_SL_RES_0000000098.MOV,환자가 대화가 가능한가요?,G2_0_1_C8,11
KETI_SL_RES_0000000096.MOV,환자가 숨을 쉬고 있나요?,G2_0_1_C8,11
KETI_SL_RES_0000000100.MOV,환자가 쓰러지신지 얼마나 되셨죠?,G2_0_1_C8,11
KETI_SL_RES_0000000090.MOV,환자는 지금 깨어있나요?,G2_0_1_C8,11
KETI_SL_RES_0000000082.MOV,가슴에 통증이 있나요?,G2_1_C8,3
KETI_SL_RES_0000000089.MOV,가슴에 통증이 있는지 물어봐줄래요?,G2_1_C8,3
KETI_SL_RES_0000000109.MOV,가슴을 계속 누르고 있으세요,G2_1_C8,3
KETI_SL_0000008441.MOV,아랫집에 불이 났어요,G3_C11,12
KETI_SL_0000008440.MOV,옆집에 불이 났어요,G3_C11,12
KETI_SL_0000008438.MOV,우리 집에 불이 났어요,G3_C11,12
KETI_SL_0000008439.MOV,윗집에 불이 났어요,G3_C11,12
KETI_SL_0000008461.MOV,집 벽이 무너질려고 해요,G3_C11,12
KETI_SL_0000008398.MOV,집에 도둑(강도)이 들어왔어요,G3_C11,12
KETI_SL_0000008445.MOV,집에 모르는 사람이 침입했어요,G3_C11,12
KETI_SL_0000008381.MOV,집에 불이 났어요,G3_C11,12
KETI_SL_0000008479.MOV,집에 전기가 나갔어요,G3_C11,12
KETI_SL_RES_0000000011.MOV,집에 혼자있나요?,G3_C11,12
KETI_SL_0000008460.MOV,집이 흔들려요,G3_C11,12
KETI_SL_0000008431.MOV,홍수가 나서 집이 물에 잠기고 있어요,G3_C11,12
KETI_SL_0000008390.MOV,근처에서 폭탄이 터졌어요,G4_0_C12,3
KETI_SL_0000000394.MOV,폭발,G4_0_C12,3
KETI_SL_0000008422.MOV,폭탄이 터졌어요,G4_0_C12,3
KETI_SL_RES_0000000075.MOV,몇층에서 불이 나고 있나요?,G4_1_0_0_0_C12,11
KETI_SL_0000000239.MOV,불,G4_1_0_0_0_C12,11
KETI_SL_0000000240.MOV,불나다,G4_1_0_0_0_C12,11
KETI_SL_RES_0000000034.MOV,불이 얼만큼 번졌나요?,G4_1_0_0_0_C12,11
KETI_SL_RES_0000000061.MOV,불이 크게 났나요?,G4_1_0_0_0_C12,11
KETI_SL_0000008416.MOV,어디선가 연기가 나요 불이 나고 있는 것 같아요,G4_1_0_0_0_C12,11
KETI_SL_RES_0000000039.MOV,지금 불이 어떻게 퍼지고 있나요?,G4_1_0_0_0_C12,11
KETI_SL_0000008403.MOV,지하철 역 안에서 화재가 발생했어요,G4_1_0_0_0_C12,11
KETI_SL_RES_0000000040.MOV,최초에 어떻게 불길이 번졌는지 알고 계시나요?,G4_1_0_0_0_C12,11
KETI_SL_0000000419.MOV,화재,G4_1_0_0_0_C12,11
KETI_SL_RES_0000000074.MOV,화재가 난 건물이 어디죠?,G4_1_0_0_0_C12,11
KETI_SL_0000036963,밖에 불이 났어요 소방차를 불러주세요,G4_1_0_0_1_C12,2
KETI_SL_0000008471.MOV,밖에 불이 났어요. 소방차를 불러주세요,G4_1_0_0_1_C12,2
KETI_SL_0000008430.MOV,가스가 새고 있는 것 같아요,G4_1_0_1_C12,2
KETI_SL_0000008443.MOV,가스가 새고 있어요,G4_1_0_1_C12,2
KETI_SL_0000008444.MOV,감전 사고가 났어요,G4_1_1_C12,4
KETI_SL_0000000130.MOV,고압전선,G4_1_1_C12,4
KETI_SL_RES_0000000087.MOV,어디에 화상을 입으신 건가요?,G4_1_1_C12,4
KETI_SL_0000008404.MOV,화상을 입었어요,G4_1_1_C12,4
KETI_SL_0000000078.MOV,77,G5_0_C17,9
KETI_SL_0000000079.MOV,78,G5_0_C17,9
KETI_SL_0000000080.MOV,79,G5_0_C17,9
KETI_SL_0000000009.MOV,8,G5_0_C17,9
KETI_SL_0000000081.MOV,80,G5_0_C17,9
KETI_SL_0000000082.MOV,81,G5_0_C17,9
KETI_SL_0000000083.MOV,82,G5_0_C17,9
KETI_SL_0000000084.MOV,83,G5_0_C17,9
KETI_SL_0000000085.MOV,84,G5_0_C17,9
KETI_SL_0000000070.MOV,69,G5_1_C17,9
KETI_SL_0000000071.MOV,70,G5_1_C17,9
KETI_SL_0000000072.MOV,71,G5_1_C17,9
KETI_SL_0000000073.MOV,72,G5_1_C17,9
KETI_SL_0000000074.MOV,73,G5_1_C17,9
KETI_SL_0000000075.MOV,74,G5_1_C17,9
KETI_SL_0000000076.MOV,75,G5_1_C17,9
KETI_SL_0000000077.MOV,76,G5_1_C17,9
KETI_SL_0000000401.MOV,할아버지,G5_1_C17,9
KETI_SL_0000000062.MOV,61,G5_2_C17,9
KETI_SL_0000000063.MOV,62,G5_2_C17,9
KETI_SL_0000000064.MOV,63,G5_2_C17,9
KETI_SL_0000000065.MOV,64,G5_2_C17,9
KETI_SL_0000000066.MOV,65,G5_2_C17,9
KETI_SL_0000000067.MOV,66,G5_2_C17,9
KETI_SL_0000000068.MOV,67,G5_2_C17,9
KETI_SL_0000000069.MOV,68,G5_2_C17,9
KETI_SL_0000000008.MOV,7,G5_2_C17,9
KETI_SL_0000008393.MOV,강아지가 뼈를 삼켰어요,G6_0_C20,8
KETI_SL_0000008448.MOV,아기가 갑자기 토해요,G6_0_C20,8
KETI_SL_0000036893,아기가 장난감을 사켰어요,G6_0_C20,8
KETI_SL_0000008394.MOV,아기가 장난감을 삼켰어요,G6_0_C20,8
KETI_SL_0000008452.MOV,아이가 독극물을 삼켰어요,G6_0_C20,8
KETI_SL_0000008458.MOV,아이가 방에 갇혔어요,G6_0_C20,8
KETI_SL_0000008454.MOV,아이가 장난감을 삼켰어요,G6_0_C20,8
KETI_SL_0000008468.MOV,우리아이가 갑자기 의식을 잃었어요,G6_0_C20,8
KETI_SL_0000000275.MOV,아기,G6_1_C20,7
KETI_SL_0000008447.MOV,아기를 낳을것 같아요,G6_1_C20,7
KETI_SL_0000000276.MOV,아이들,G6_1_C20,7
KETI_SL_0000000277.MOV,어린이,G6_1_C20,7
KETI_SL_0000000334.MOV,유치원,G6_1_C20,7
KETI_SL_0000001169.MTS,유치원 버스,G6_1_C20,7
KETI_SL_0000000348.MOV,임신한아내,G6_1_C20,7
KETI_SL_0000000012.MOV,11,G7_0_C22,5
KETI_SL_0000000013.MOV,12,G7_0_C22,5
KETI_SL_0000000014.MOV,13,G7_0_C22,5
KETI_SL_0000000015.MOV,14,G7_0_C22,5
KETI_SL_0000000016.MOV,15,G7_0_C22,5
KETI_SL_0000000101.MOV,100,G7_1_0_C22,8
KETI_SL_0000002509.MP4,93,G7_1_0_C22,8
KETI_SL_0000000095.MOV,94,G7_1_0_C22,8
KETI_SL_0000000096.MOV,95,G7_1_0_C22,8
KETI_SL_0000000097.MOV,96,G7_1_0_C22,8
KETI_SL_0000000098.MOV,97,G7_1_0_C22,8
KETI_SL_0000000099.MOV,98,G7_1_0_C22,8
KETI_SL_0000000100.MOV,99,G7_1_0_C22,8
KETI_SL_0000000086.MOV,85,G7_1_1_C22,9
KETI_SL_0000000087.MOV,86,G7_1_1_C22,9
KETI_SL_0000000088.MOV,87,G7_1_1_C22,9
KETI_SL_0000000089.MOV,88,G7_1_1_C22,9
KETI_SL_0000000090.MOV,89,G7_1_1_C22,9
KETI_SL_0000000010.MOV,9,G7_1_1_C22,9
KETI_SL_0000000091.MOV,90,G7_1_1_C22,9
KETI_SL_0000000092.MOV,91,G7_1_1_C22,9
KETI_SL_0000000093.MOV,92,G7_1_1_C22,9
KETI_SL_0000000011.MOV,10,G7_2_C22,4
KETI_SL_0000000020.MOV,19,G7_2_C22,4
KETI_SL_0000000021.MOV,20,G7_2_C22,4
KETI_SL_0000000022.MOV,21,G7_2_C22,4
KETI_SL_0000000102.MOV,112,G8_0_C26,6
KETI_SL_0000008473.MOV,112에 신고해주세요,G8_0_C26,6
KETI_SL_RES_0000000001.MOV,112입니다.,G8_0_C26,6
KETI_SL_0000000125.MOV,경찰,G8_0_C26,6
KETI_SL_0000008474.MOV,밖에 싸움이 났어요 경찰을 불러주세요,G8_0_C26,6
KETI_SL_0000000273.MOV,신고하세요(경찰),G8_0_C26,6
KETI_SL_0000000103.MOV,119,G8_1_C26,7
KETI_SL_0000008469.MOV,119 구조대를 불러주세요,G8_1_C26,7
KETI_SL_RES_0000000002.MOV,119입니다.,G8_1_C26,7
KETI_SL_0000000144.MOV,구급대,G8_1_C26,7
KETI_SL_0000000145.MOV,구급대원,G8_1_C26,7
KETI_SL_0000000338.MOV,응급대원,G8_1_C26,7
KETI_SL_0000000339.MOV,응급처리,G8_1_C26,7
KETI_SL_RES_0000000121.MOV,금방 도움을 드리겠습니다,G9_0_C28,8
KETI_SL_RES_0000000068.MOV,무엇을 도와드릴까요?,G9_0_C28,8
KETI_SL_RES_0000000107.MOV,숨을 수 있는 곳으로 도망치세요,G9_0_C28,8
KETI_SL_RES_0000000110.MOV,숨이 멈추면 저한테 이야기 해 주세요,G9_0_C28,8
KETI_SL_0000000286.MOV,알려주세요,G9_0_C28,8
KETI_SL_0000000302.MOV,연락해주세요,G9_0_C28,8
KETI_SL_RES_0000000073.MOV,위치 좀 다시 한번 말씀해주세요,G9_0_C28,8
KETI_SL_RES_0000000007.MOV,현관문을 열어줄 수 있나요?,G9_0_C28,8
KETI_SL_RES_0000000120.MOV,도와줄 사람들을 금방 보내줄게요,G9_2_0_C28,6
KETI_SL_0000008457.MOV,빨리 도와주세요,G9_2_0_C28,6
KETI_SL_0000008386.MOV,빨리 와주세요,G9_2_0_C28,6
KETI_SL_RES_0000000041.MOV,일단 사람을 빨리 구출 할 순 있나요?,G9_2_0_C28,6
KETI_SL_0000008399.MOV,쫓아오는 것 같아요,G9_2_0_C28,6
KETI_SL_RES_0000000128.MOV,최대한 빨리 출동하도록 하겠습니다,G9_2_0_C28,6
KETI_SL_RES_0000000111.MOV,CPR을 시작해주세요,G9_2_1_C28,9
KETI_SL_0000000149.MOV,구해주세요,G9_2_1_C28,9
KETI_SL_0000008436.MOV,도와주세요!,G9_2_1_C28,9
KETI_SL_0000000203.MOV,말려주세요,G9_2_1_C28,9
KETI_SL_0000000234.MOV,보내주세요(경찰),G9_2_1_C28,9
KETI_SL_0000000235.MOV,보내주세요(구급차),G9_2_1_C28,9
KETI_SL_RES_0000000113.MOV,선실 밖으로 나가서 구조를 요청하세요,G9_2_1_C28,9
KETI_SL_0000000305.MOV,열어주세요,G9_2_1_C28,9
KETI_SL_RES_0000000118.MOV,일단 가서 말려주세요,G9_2_1_C28,9
KETI_SL_0000000113.MOV,감전,G10_0_C31,2
KETI_SL_0000008432.MOV,고압선이 끊어져 있어요,G10_0_C31,2
KETI_SL_0000000187.MOV,독버섯,G10_1_0_C31,5
KETI_SL_0000000229.MOV,벌,G10_1_0_C31,5
KETI_SL_0000000306.MOV,엽총,G10_1_0_C31,5
KETI_SL_0000000340.MOV,의사,G10_1_0_C31,5
KETI_SL_0000000364.MOV,지혈대,G10_1_0_C31,5
KETI_SL_0000000109.MOV,가시,G10_1_1_C31,10
KETI_SL_0000000110.MOV,각목,G10_1_1_C31,10
KETI_SL_0000000132.MOV,고장,G10_1_1_C31,10
KETI_SL_0000000137.MOV,공사장,G10_1_1_C31,10
KETI_SL_0000000140.MOV,공장,G10_1_1_C31,10
KETI_SL_0000000133.MOV,부러지다,G10_1_1_C31,10
KETI_SL_0000000342.MOV,이물질,G10_1_1_C31,10
KETI_SL_0000000356.MOV,절단,G10_1_1_C31,10
KETI_SL_0000000391.MOV,파편,G10_1_1_C31,10
KETI_SL_0000000410.MOV,협박,G10_1_1_C31,10
KETI_SL_0000008426.MOV,(신체부위)가 절단됐어요,G10_2_C31,7
KETI_SL_0000008401.MOV,어떤 사람이 무기 흉기를 소지하고 있어요,G10_2_C31,7
KETI_SL_0000036899,어떤 사람이 무기/흉기를 소지하고 있어요,G10_2_C31,7
KETI_SL_0000008387.MOV,어떤 사람이 칼로 위협하고 있어요,G10_2_C31,7
KETI_SL_0000008482.MOV,어떤 사람이 칼에 찔려서 피를 많이 흘리고 있어요,G10_2_C31,7
KETI_SL_0000008480.MOV,음식을 하다가 손가락을 칼에 베였어요,G10_2_C31,7
KETI_SL_0000000382.MOV,칼,G10_2_C31,7
KETI_SL_0000008392.MOV,(사람)이 갑자기 쓰러졌어요,G11_0_C35,9
KETI_SL_0000000156.MOV,기절하다,G11_0_C35,9
KETI_SL_0000008463.MOV,남편이 높은데서 떨어져서 머리에서 피나요,G11_0_C35,9
KETI_SL_0000008421.MOV,스키를 타다가 넘어져서 못 일어나겠어요,G11_0_C35,9
KETI_SL_0000000199.MOV,쓰러지다,G11_0_C35,9
KETI_SL_0000008476.MOV,아내가 쓰러졌어요,G11_0_C35,9
KETI_SL_0000008419.MOV,어떤 사람이 길거리에서 피를 많이 흘리고 있어요,G11_0_C35,9
KETI_SL_0000008485.MOV,엄마가 신장병에 있는데 쓰러지셨어요,G11_0_C35,9
KETI_SL_0000008391.MOV,할머니가 갑자기 쓰러지셨어요,G11_0_C35,9
KETI_SL_0000008385.MOV,너무 아파요,G11_1_C35,12
KETI_SL_0000008466.MOV,몸에 열이 많이 나고 두통이 심해요,G11_1_C35,12
KETI_SL_0000008455.MOV,복통이 심해요,G11_1_C35,12
KETI_SL_0000008433.MOV,숨이 안 쉬어져요,G11_1_C35,12
KETI_SL_0000008420.MOV,식사를 하다가 목에 음식이 걸렸어요,G11_1_C35,12
KETI_SL_0000008449.MOV,아기가 숨을 안 쉬어요,G11_1_C35,12
KETI_SL_0000008456.MOV,아파서 못 참을것 같아요,G11_1_C35,12
KETI_SL_0000008470.MOV,어지러워서 서있을 수 없어요,G11_1_C35,12
KETI_SL_0000008389.MOV,주변 구조물이 무너져서 몸이 끼었어요 몸을 움직이지 못하겠어요,G11_1_C35,12
KETI_SL_0000008407.MOV,친구가 숨을 안 쉬는 것 같아요,G11_1_C35,12
KETI_SL_0000008481.MOV,허리가 아파서 일어날 수 없어요,G11_1_C35,12
KETI_SL_0000000412.MOV,호흡곤란,G11_1_C35,12
KETI_SL_0000000120.MOV,개,G12_0_C37,8
KETI_SL_0000008412.MOV,광견병에 걸린 개에게 물렸어요,G12_0_C37,8
KETI_SL_0000000204.MOV,말벌,G12_0_C37,8
KETI_SL_0000008423.MOV,말벌에게 쏘였어요,G12_0_C37,8
KETI_SL_0000000205.MOV,맹견,G12_0_C37,8
KETI_SL_0000000207.MOV,멧돼지,G12_0_C37,8
KETI_SL_0000008483.MOV,아이가 말벌에 쏘여서 기절했어요,G12_0_C37,8
KETI_SL_0000008408.MOV,차 안에 강아지가 방치되어있어요,G12_0_C37,8
KETI_SL_0000000164.MOV,낯선남자,G12_1_C37,6
KETI_SL_0000000165.MOV,낯선사람,G12_1_C37,6
KETI_SL_0000000166.MOV,낯선여자,G12_1_C37,6
KETI_SL_0000008472.MOV,밖에 모르는 사람이 서성거려요,G12_1_C37,6
KETI_SL_0000008451.MOV,아이를 모르는 사람이 데려갔어요,G12_1_C37,6
KETI_SL_0000000344.MOV,이상한사람,G12_1_C37,6
KETI_SL_0000008427.MOV,바다에서 조난을 당했어요,G12_2_0_C37,5
KETI_SL_0000008464.MOV,어떤 사람이 바다에 빠졌어요,G12_2_0_C37,5
KETI_SL_0000008475.MOV,해안가에 상어가 나타났어요,G12_2_0_C37,5
KETI_SL_0000008382.MOV,해안가에 해파리가 나타났어요,G12_2_0_C37,5
KETI_SL_0000008424.MOV,해파리에게 쏘였어요,G12_2_0_C37,5
KETI_SL_0000008417.MOV,급류에 친구가 휩쓸렸어요,G12_2_1_C37,12
KETI_SL_0000008425.MOV,독버섯을 먹은 것 같아요,G12_2_1_C37,12
KETI_SL_0000008411.MOV,산에서 뱀에게 물렸어요,G12_2_1_C37,12
KETI_SL_0000008437.MOV,산에서 야생동물을 만났어요 저를 공격할 것 같아요,G12_2_1_C37,12
KETI_SL_0000008477.MOV,아들이 놀이터에서 놀다가 팔이 부러졌어요,G12_2_1_C37,12
KETI_SL_0000008450.MOV,아이를 공원에서 잃어버렸어요,G12_2_1_C37,12
KETI_SL_RES_0000000052.MOV,아이를 어디서 잃어버리셨어요?,G12_2_1_C37,12
KETI_SL_0000008435.MOV,어떤 사람이 저를 죽이려고 해요,G12_2_1_C37,12
KETI_SL_0000008410.MOV,어떤 사람한테 납치당했어요,G12_2_1_C37,12
KETI_SL_0000008397.MOV,이상한 사람이 저를 쫓아와요,G12_2_1_C37,12
KETI_SL_0000008406.MOV,친구가 감전 사고를 당했어요,G12_2_1_C37,12
KETI_SL_0000008405.MOV,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,G12_2_1_C37,12
KETI_SL_0000000005.MOV,4,G13_0_C41,9
KETI_SL_0000000044.MOV,43,G13_0_C41,9
KETI_SL_0000000045.MOV,44,G13_0_C41,9
KETI_SL_0000000046.MOV,45,G13_0_C41,9
KETI_SL_0000000047.MOV,46,G13_0_C41,9
KETI_SL_0000000048.MOV,47,G13_0_C41,9
KETI_SL_0000002459.MP4,48,G13_0_C41,9
KETI_SL_0000000050.MOV,49,G13_0_C41,9
KETI_SL_0000000282.MOV,아줌마,G13_0_C41,9
KETI_SL_0000000006.MOV,5,G13_1_0_C41,9
KETI_SL_0000000051.MOV,50,G13_1_0_C41,9
KETI_SL_0000000052.MOV,51,G13_1_0_C41,9
KETI_SL_0000000053.MOV,52,G13_1_0_C41,9
KETI_SL_0000000054.MOV,53,G13_1_0_C41,9
KETI_SL_0000000055.MOV,54,G13_1_0_C41,9
KETI_SL_0000000056.MOV,55,G13_1_0_C41,9
KETI_SL_0000000057.MOV,56,G13_1_0_C41,9
KETI_SL_0000000058.MOV,57,G13_1_0_C41,9
KETI_SL_0000000059.MOV,58,G13_1_1_C41,4
KETI_SL_0000000060.MOV,59,G13_1_1_C41,4
KETI_SL_0000000007.MOV,6,G13_1_1_C41,4
KETI_SL_0000000061.MOV,60,G13_1_1_C41,4
KETI_SL_0000000025.MOV,24,G13_2_C41,2
KETI_SL_0000000026.MOV,25,G13_2_C41,2
KETI_SL_0000000136.MOV,곰,G14_0_C45,5
KETI_SL_0000000162.MOV,납치,G14_0_C45,5
KETI_SL_0000000182.MOV,도둑,G14_0_C45,5
KETI_SL_0000000192.MOV,동전,G14_0_C45,5
KETI_SL_0000000183.MOV,절도,G14_0_C45,5
KETI_SL_0000000177.MOV,눈,G14_1_C45,4
KETI_SL_0000008414.MOV,눈에 이물질이 들어갔어요,G14_1_C45,4
KETI_SL_0000006182.MOV,오른쪽-눈,G14_1_C45,4
KETI_SL_0000000322.MOV,왼쪽-눈,G14_1_C45,4
KETI_SL_0000000128.MOV,계단,G14_2_C45,11
KETI_SL_0000000139.MOV,놀이터,G14_2_C45,11
KETI_SL_0000000210.MOV,무너지다,G14_2_C45,11
KETI_SL_0000000211.MOV,붕괴,G14_2_C45,11
KETI_SL_0000000242.MOV,비닐하우스,G14_2_C45,11
KETI_SL_0000000255.MOV,선반,G14_2_C45,11
KETI_SL_0000000298.MOV,엘리베이터,G14_2_C45,11
KETI_SL_0000000371.MOV,창문,G14_2_C45,11
KETI_SL_0000008415.MOV,터널이 무너져 갇혔어요,G14_2_C45,11
KETI_SL_0000000395.MOV,폭탄,G14_2_C45,11
KETI_SL_0000000402.MOV,함몰되다,G14_2_C45,11
KETI_SL_0000008459.MOV,내가 방에 갇혔어요,G14_3_0_C45,6
KETI_SL_0000008384.MOV,동생이 문틈에 손이 끼었어요,G14_3_0_C45,6
KETI_SL_0000008429.MOV,문에 몸이 끼었어요,G14_3_0_C45,6
KETI_SL_0000000213.MOV,문틈,G14_3_0_C45,6
KETI_SL_0000000252.MOV,서랍,G14_3_0_C45,6
KETI_SL_0000000353.MOV,작은방,G14_3_0_C45,6
KETI_SL_0000000111.MOV,갇히다,G14_3_1_C45,10
KETI_SL_0000000112.MOV,감금,G14_3_1_C45,10
KETI_SL_0000000122.MOV,걸렸다,G14_3_1_C45,10
KETI_SL_0000000123.MOV,결박,G14_3_1_C45,10
KETI_SL_0000000151.MOV,금가다,G14_3_1_C45,10
KETI_SL_0000000155.MOV,기절,G14_3_1_C45,10
KETI_SL_0000008434.MOV,몸이 결박 당해있어요,G14_3_1_C45,10
KETI_SL_0000008465.MOV,사람이 무거운 물건에 깔렸어요,G14_3_1_C45,10
KETI_SL_0000000271.MOV,숨을안쉬다,G14_3_1_C45,10
KETI_SL_0000000418.MOV,화장실,G14_3_1_C45,10
KETI_SL_0000000119.MOV,강풍,G15_0_C50,7
KETI_SL_0000000175.MOV,누전,G15_0_C50,7
KETI_SL_0000000176.MOV,누출,G15_0_C50,7
KETI_SL_0000000228.MOV,뱀,G15_0_C50,7
KETI_SL_0000000231.MOV,벼락,G15_0_C50,7
KETI_SL_0000000330.MOV,위협,G15_0_C50,7
KETI_SL_0000000358.MOV,조난,G15_0_C50,7
KETI_SL_0000000124.MOV,경운기,G15_1_0_C50,10
KETI_SL_0000000157.MOV,깔리다,G15_1_0_C50,10
KETI_SL_0000000163.MOV,낫,G15_1_0_C50,10
KETI_SL_0000000169.MOV,냄새나다,G15_1_0_C50,10
KETI_SL_0000000250.MOV,삼키다,G15_1_0_C50,10
KETI_SL_0000000270.MOV,술취한 사람,G15_1_0_C50,10
KETI_SL_RES_0000000004.MOV,아니오.,G15_1_0_C50,10
KETI_SL_0000000294.MOV,어지러움,G15_1_0_C50,10
KETI_SL_0000000366.MOV,질식,G15_1_0_C50,10
KETI_SL_0000000413.MOV,호흡기,G15_1_0_C50,10
KETI_SL_0000000107.MOV,가스,G15_1_1_C50,11
KETI_SL_0000000226.MOV,복부,G15_1_1_C50,11
KETI_SL_0000000248.MOV,살충제,G15_1_1_C50,11
KETI_SL_0000000262.MOV,소화기,G15_1_1_C50,11
KETI_SL_0000000263.MOV,소화전,G15_1_1_C50,11
KETI_SL_0000000333.MOV,유리,G15_1_1_C50,11
KETI_SL_0000000337.MOV,음식물,G15_1_1_C50,11
KETI_SL_0000000365.MOV,진통제,G15_1_1_C50,11
KETI_SL_0000000386.MOV,토하다,G15_1_1_C50,11
KETI_SL_0000000379.MOV,피나다,G15_1_1_C50,11
KETI_SL_0000000416.MOV,화약,G15_1_1_C50,11
KETI_SL_0000000186.MOV,독극물,G15_1_2_C50,4
KETI_SL_0000000243.MOV,비상약,G15_1_2_C50,4
KETI_SL_0000000357.MOV,제초제,G15_1_2_C50,4
KETI_SL_0000000404.MOV,해독제,G15_1_2_C50,4
KETI_SL_0000000114.MOV,강,G15_2_C50,12
KETI_SL_0000000127.MOV,계곡,G15_2_C50,12
KETI_SL_0000000154.MOV,급류,G15_2_C50,12
