한국어,클러스터_ID,클러스터_크기
밖에 불이 났어요 소방차를 불러주세요,G4_1_0_0_1_C12,2
밖에 불이 났어요. 소방차를 불러주세요,G4_1_0_0_1_C12,2
가스가 새고 있는 것 같아요,G4_1_0_1_C12,2
가스가 새고 있어요,G4_1_0_1_C12,2
감전 사고가 났어요,G4_1_1_C12,4
고압전선,G4_1_1_C12,4
어디에 화상을 입으신 건가요?,G4_1_1_C12,4
화상을 입었어요,G4_1_1_C12,4
77,G5_0_C17,9
78,G5_0_C17,9
79,G5_0_C17,9
8,G5_0_C17,9
80,G5_0_C17,9
81,G5_0_C17,9
82,G5_0_C17,9
83,G5_0_C17,9
84,G5_0_C17,9
69,G5_1_C17,9
70,G5_1_C17,9
71,G5_1_C17,9
72,G5_1_C17,9
73,G5_1_C17,9
74,G5_1_C17,9
75,G5_1_C17,9
76,G5_1_C17,9
할아버지,G5_1_C17,9
61,G5_2_C17,9
62,G5_2_C17,9
63,G5_2_C17,9
64,G5_2_C17,9
65,G5_2_C17,9
66,G5_2_C17,9
67,G5_2_C17,9
68,G5_2_C17,9
7,G5_2_C17,9
강아지가 뼈를 삼켰어요,G6_0_C20,8
아기가 갑자기 토해요,G6_0_C20,8
아기가 장난감을 사켰어요,G6_0_C20,8
아기가 장난감을 삼켰어요,G6_0_C20,8
아이가 독극물을 삼켰어요,G6_0_C20,8
아이가 방에 갇혔어요,G6_0_C20,8
아이가 장난감을 삼켰어요,G6_0_C20,8
우리아이가 갑자기 의식을 잃었어요,G6_0_C20,8
아기,G6_1_C20,7
아기를 낳을것 같아요,G6_1_C20,7
아이들,G6_1_C20,7
어린이,G6_1_C20,7
유치원,G6_1_C20,7
유치원 버스,G6_1_C20,7
임신한아내,G6_1_C20,7
11,G7_0_C22,5
12,G7_0_C22,5
13,G7_0_C22,5
14,G7_0_C22,5
15,G7_0_C22,5
100,G7_1_0_C22,8
93,G7_1_0_C22,8
94,G7_1_0_C22,8
95,G7_1_0_C22,8
96,G7_1_0_C22,8
97,G7_1_0_C22,8
98,G7_1_0_C22,8
99,G7_1_0_C22,8
85,G7_1_1_C22,9
86,G7_1_1_C22,9
87,G7_1_1_C22,9
88,G7_1_1_C22,9
89,G7_1_1_C22,9
9,G7_1_1_C22,9
90,G7_1_1_C22,9
91,G7_1_1_C22,9
92,G7_1_1_C22,9
10,G7_2_C22,4
19,G7_2_C22,4
20,G7_2_C22,4
21,G7_2_C22,4
112,G8_0_C26,6
112에 신고해주세요,G8_0_C26,6
112입니다.,G8_0_C26,6
경찰,G8_0_C26,6
밖에 싸움이 났어요 경찰을 불러주세요,G8_0_C26,6
신고하세요(경찰),G8_0_C26,6
119,G8_1_C26,7
119 구조대를 불러주세요,G8_1_C26,7
119입니다.,G8_1_C26,7
구급대,G8_1_C26,7
구급대원,G8_1_C26,7
응급대원,G8_1_C26,7
응급처리,G8_1_C26,7
금방 도움을 드리겠습니다,G9_0_C28,8
무엇을 도와드릴까요?,G9_0_C28,8
숨을 수 있는 곳으로 도망치세요,G9_0_C28,8
숨이 멈추면 저한테 이야기 해 주세요,G9_0_C28,8
알려주세요,G9_0_C28,8
연락해주세요,G9_0_C28,8
위치 좀 다시 한번 말씀해주세요,G9_0_C28,8
현관문을 열어줄 수 있나요?,G9_0_C28,8
도와줄 사람들을 금방 보내줄게요,G9_2_0_C28,6
빨리 도와주세요,G9_2_0_C28,6
빨리 와주세요,G9_2_0_C28,6
일단 사람을 빨리 구출 할 순 있나요?,G9_2_0_C28,6
쫓아오는 것 같아요,G9_2_0_C28,6
최대한 빨리 출동하도록 하겠습니다,G9_2_0_C28,6
CPR을 시작해주세요,G9_2_1_C28,9
구해주세요,G9_2_1_C28,9
도와주세요!,G9_2_1_C28,9
말려주세요,G9_2_1_C28,9
보내주세요(경찰),G9_2_1_C28,9
보내주세요(구급차),G9_2_1_C28,9
선실 밖으로 나가서 구조를 요청하세요,G9_2_1_C28,9
열어주세요,G9_2_1_C28,9
일단 가서 말려주세요,G9_2_1_C28,9
감전,G10_0_C31,2
고압선이 끊어져 있어요,G10_0_C31,2
독버섯,G10_1_0_C31,5
벌,G10_1_0_C31,5
엽총,G10_1_0_C31,5
의사,G10_1_0_C31,5
지혈대,G10_1_0_C31,5
가시,G10_1_1_C31,10
각목,G10_1_1_C31,10
고장,G10_1_1_C31,10
공사장,G10_1_1_C31,10
공장,G10_1_1_C31,10
부러지다,G10_1_1_C31,10
이물질,G10_1_1_C31,10
절단,G10_1_1_C31,10
파편,G10_1_1_C31,10
협박,G10_1_1_C31,10
(신체부위)가 절단됐어요,G10_2_C31,7
어떤 사람이 무기 흉기를 소지하고 있어요,G10_2_C31,7
어떤 사람이 무기/흉기를 소지하고 있어요,G10_2_C31,7
어떤 사람이 칼로 위협하고 있어요,G10_2_C31,7
어떤 사람이 칼에 찔려서 피를 많이 흘리고 있어요,G10_2_C31,7
음식을 하다가 손가락을 칼에 베였어요,G10_2_C31,7
칼,G10_2_C31,7
(사람)이 갑자기 쓰러졌어요,G11_0_C35,9
기절하다,G11_0_C35,9
남편이 높은데서 떨어져서 머리에서 피나요,G11_0_C35,9
스키를 타다가 넘어져서 못 일어나겠어요,G11_0_C35,9
쓰러지다,G11_0_C35,9
아내가 쓰러졌어요,G11_0_C35,9
어떤 사람이 길거리에서 피를 많이 흘리고 있어요,G11_0_C35,9
엄마가 신장병에 있는데 쓰러지셨어요,G11_0_C35,9
할머니가 갑자기 쓰러지셨어요,G11_0_C35,9
너무 아파요,G11_1_C35,12
몸에 열이 많이 나고 두통이 심해요,G11_1_C35,12
복통이 심해요,G11_1_C35,12
숨이 안 쉬어져요,G11_1_C35,12
식사를 하다가 목에 음식이 걸렸어요,G11_1_C35,12
아기가 숨을 안 쉬어요,G11_1_C35,12
아파서 못 참을것 같아요,G11_1_C35,12
어지러워서 서있을 수 없어요,G11_1_C35,12
주변 구조물이 무너져서 몸이 끼었어요 몸을 움직이지 못하겠어요,G11_1_C35,12
친구가 숨을 안 쉬는 것 같아요,G11_1_C35,12
허리가 아파서 일어날 수 없어요,G11_1_C35,12
호흡곤란,G11_1_C35,12
개,G12_0_C37,8
광견병에 걸린 개에게 물렸어요,G12_0_C37,8
말벌,G12_0_C37,8
말벌에게 쏘였어요,G12_0_C37,8
맹견,G12_0_C37,8
멧돼지,G12_0_C37,8
아이가 말벌에 쏘여서 기절했어요,G12_0_C37,8
차 안에 강아지가 방치되어있어요,G12_0_C37,8
낯선남자,G12_1_C37,6
낯선사람,G12_1_C37,6
낯선여자,G12_1_C37,6
밖에 모르는 사람이 서성거려요,G12_1_C37,6
아이를 모르는 사람이 데려갔어요,G12_1_C37,6
이상한사람,G12_1_C37,6
바다에서 조난을 당했어요,G12_2_0_C37,5
어떤 사람이 바다에 빠졌어요,G12_2_0_C37,5
해안가에 상어가 나타났어요,G12_2_0_C37,5
해안가에 해파리가 나타났어요,G12_2_0_C37,5
해파리에게 쏘였어요,G12_2_0_C37,5
급류에 친구가 휩쓸렸어요,G12_2_1_C37,12
독버섯을 먹은 것 같아요,G12_2_1_C37,12
산에서 뱀에게 물렸어요,G12_2_1_C37,12
산에서 야생동물을 만났어요 저를 공격할 것 같아요,G12_2_1_C37,12
아들이 놀이터에서 놀다가 팔이 부러졌어요,G12_2_1_C37,12
아이를 공원에서 잃어버렸어요,G12_2_1_C37,12
아이를 어디서 잃어버리셨어요?,G12_2_1_C37,12
어떤 사람이 저를 죽이려고 해요,G12_2_1_C37,12
어떤 사람한테 납치당했어요,G12_2_1_C37,12
이상한 사람이 저를 쫓아와요,G12_2_1_C37,12
친구가 감전 사고를 당했어요,G12_2_1_C37,12
친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,G12_2_1_C37,12
4,G13_0_C41,9
43,G13_0_C41,9
44,G13_0_C41,9
45,G13_0_C41,9
46,G13_0_C41,9
47,G13_0_C41,9
48,G13_0_C41,9
49,G13_0_C41,9
아줌마,G13_0_C41,9
5,G13_1_0_C41,9
50,G13_1_0_C41,9
51,G13_1_0_C41,9
52,G13_1_0_C41,9
53,G13_1_0_C41,9
54,G13_1_0_C41,9
55,G13_1_0_C41,9
56,G13_1_0_C41,9
57,G13_1_0_C41,9
58,G13_1_1_C41,4
59,G13_1_1_C41,4
6,G13_1_1_C41,4
60,G13_1_1_C41,4
24,G13_2_C41,2
25,G13_2_C41,2
곰,G14_0_C45,5
납치,G14_0_C45,5
도둑,G14_0_C45,5
동전,G14_0_C45,5
절도,G14_0_C45,5
눈,G14_1_C45,4
눈에 이물질이 들어갔어요,G14_1_C45,4
오른쪽-눈,G14_1_C45,4
왼쪽-눈,G14_1_C45,4
계단,G14_2_C45,11
놀이터,G14_2_C45,11
무너지다,G14_2_C45,11
붕괴,G14_2_C45,11
비닐하우스,G14_2_C45,11
선반,G14_2_C45,11
엘리베이터,G14_2_C45,11
창문,G14_2_C45,11
터널이 무너져 갇혔어요,G14_2_C45,11
폭탄,G14_2_C45,11
함몰되다,G14_2_C45,11
내가 방에 갇혔어요,G14_3_0_C45,6
동생이 문틈에 손이 끼었어요,G14_3_0_C45,6
문에 몸이 끼었어요,G14_3_0_C45,6
문틈,G14_3_0_C45,6
서랍,G14_3_0_C45,6
작은방,G14_3_0_C45,6
갇히다,G14_3_1_C45,10
감금,G14_3_1_C45,10
걸렸다,G14_3_1_C45,10
결박,G14_3_1_C45,10
금가다,G14_3_1_C45,10
기절,G14_3_1_C45,10
몸이 결박 당해있어요,G14_3_1_C45,10
사람이 무거운 물건에 깔렸어요,G14_3_1_C45,10
숨을안쉬다,G14_3_1_C45,10
화장실,G14_3_1_C45,10
강풍,G15_0_C50,7
누전,G15_0_C50,7
누출,G15_0_C50,7
뱀,G15_0_C50,7
벼락,G15_0_C50,7
위협,G15_0_C50,7
조난,G15_0_C50,7
경운기,G15_1_0_C50,10
깔리다,G15_1_0_C50,10
낫,G15_1_0_C50,10
냄새나다,G15_1_0_C50,10
삼키다,G15_1_0_C50,10
술취한 사람,G15_1_0_C50,10
아니오.,G15_1_0_C50,10
어지러움,G15_1_0_C50,10
질식,G15_1_0_C50,10
호흡기,G15_1_0_C50,10
가스,G15_1_1_C50,11
복부,G15_1_1_C50,11
살충제,G15_1_1_C50,11
소화기,G15_1_1_C50,11
소화전,G15_1_1_C50,11
유리,G15_1_1_C50,11
음식물,G15_1_1_C50,11
진통제,G15_1_1_C50,11
토하다,G15_1_1_C50,11
피나다,G15_1_1_C50,11
화약,G15_1_1_C50,11
독극물,G15_1_2_C50,4
비상약,G15_1_2_C50,4
제초제,G15_1_2_C50,4
해독제,G15_1_2_C50,4
강,G15_2_C50,12
계곡,G15_2_C50,12
급류,G15_2_C50,12
끓는물,G15_2_C50,12
뜨거운물,G15_2_C50,12
물,G15_2_C50,12
바다,G15_2_C50,12
배,G15_2_C50,12
수영장,G15_2_C50,12
파도,G15_2_C50,12
폭우,G15_2_C50,12
홍수,G15_2_C50,12
고열,G15_3_C50,8
산,G15_3_C50,8
열,G15_3_C50,8
열나다,G15_3_C50,8
체온계,G15_3_C50,8
해(연),G15_3_C50,8
해열제,G15_3_C50,8
화상,G15_3_C50,8
가렵다,G15_4_C50,5
두드러기생기다,G15_4_C50,5
반점생기다,G15_4_C50,5
배고프다,G15_4_C50,5
창백하다,G15_4_C50,5
거기에 창문이 있나요?,G16_0_C57,10
높이가 얼마나 되나요?,G16_0_C57,10
몇대가 추돌했나요?,G16_0_C57,10
몇명이나 떨어졌죠?,G16_0_C57,10
몇층에서 떨어졌는지는 보셨나요?,G16_0_C57,10
발견한지 얼마나 지나셨나요?,G16_0_C57,10
안에 다치신 분들은 계신가요?,G16_0_C57,10
집을 빠져나갈 수 있는 길이 있나요?,G16_0_C57,10
현관문은 열려있나요?,G16_0_C57,10
혹시 집안의 사람들은 다 대피하였나요?,G16_0_C57,10
그 시간에 전화하신 분은 안계셨나요?,G16_1_C57,5
주변에 도와줄 사람이 없나요?,G16_1_C57,5
주변에 아무도 없나요?,G16_1_C57,5
주변에 어디 들어가 있을 곳이 없나요?,G16_1_C57,5
주변에 혹시 목격자 있으신가요?,G16_1_C57,5
거기 몇명 정도 있으세요?,G16_2_C57,11
거기 지금 누구랑 같이 있나요?,G16_2_C57,11
그 안에 사람이 많이 있나요?,G16_2_C57,11
마지막으로 기억에 남는 장소가 있으세요?,G16_2_C57,11
사망자가 있나요?,G16_2_C57,11
아직도 쫓아오나요?,G16_2_C57,11
위치가 어딘지 알 수 있을까요?,G16_2_C57,11
일단 사람이 많은 곳으로 이동하신 다음에 주변을 확인해주세요,G16_2_C57,11
주변에 보이는 건물이나 상가가 있나요?,G16_2_C57,11
주변에 사람이 보이시나요?,G16_2_C57,11
지금 사람들이 가고 있어요,G16_2_C57,11
근처에 있는 건물이 붕괴되고 있어요,G17_C60,11
떨어지다,G17_C60,11
배가 침몰하고 있어요,G17_C60,11
비행기가 추락하고 있어요,G17_C60,11
심장마비,G17_C60,11
어떤 사람이 건물에서 추락했어요,G17_C60,11
어떤 사람이 벼락을 맞았어요,G17_C60,11
어떤 사람이 자살을 시도하고 있어요,G17_C60,11
여기 서대문구 홍제동 한양아파트인데 옥상에서 사람이 떨어지려고해요,G17_C60,11
자살,G17_C60,11
추락,G17_C60,11
목,G18_0_0_C61,3
목요일,G18_0_0_C61,3
주,G18_0_0_C61,3
장단지,G18_0_1_0_C61,2
축사,G18_0_1_0_C61,2
볼,G18_0_1_1_0_C61,2
시청,G18_0_1_1_0_C61,2
사이,G18_0_1_1_1_0_0_C61,4
앞,G18_0_1_1_1_0_0_C61,4
옆쪽,G18_0_1_1_1_0_0_C61,4
왼쪽,G18_0_1_1_1_0_0_C61,4
가슴,G18_0_1_1_1_0_1_0_C61,3
손,G18_0_1_1_1_0_1_0_C61,3
코,G18_0_1_1_1_0_1_0_C61,3
네.,G18_0_1_1_1_0_1_1_C61,12
다음,G18_0_1_1_1_0_1_1_C61,12
뒤,G18_0_1_1_1_0_1_1_C61,12
등,G18_0_1_1_1_0_1_1_C61,12
아래,G18_0_1_1_1_0_1_1_C61,12
알겠어요.,G18_0_1_1_1_0_1_1_C61,12
약사,G18_0_1_1_1_0_1_1_C61,12
올해,G18_0_1_1_1_0_1_1_C61,12
이번,G18_0_1_1_1_0_1_1_C61,12
자상,G18_0_1_1_1_0_1_1_C61,12
지난,G18_0_1_1_1_0_1_1_C61,12
총,G18_0_1_1_1_0_1_1_C61,12
뒤통수,G18_0_1_2_C61,4
머리,G18_0_1_2_C61,4
얼굴,G18_0_1_2_C61,4
이마,G18_0_1_2_C61,4
밑에,G18_0_2_C61,3
위,G18_0_2_C61,3
위에,G18_0_2_C61,3
귀,G18_0_3_C61,4
오른쪽,G18_0_3_C61,4
오른쪽-귀,G18_0_3_C61,4
왼쪽-귀,G18_0_3_C61,4
0,G18_1_C61,7
1,G18_1_C61,7
10000,G18_1_C61,7
2,G18_1_C61,7
월요일,G18_1_C61,7
작년,G18_1_C61,7
화요일,G18_1_C61,7
16,G18_2_C61,3
17,G18_2_C61,3
18,G18_2_C61,3
내년,G18_3_C61,4
내일,G18_3_C61,4
어제,G18_3_C61,4
오늘,G18_3_C61,4
논,G18_4_C61,3
밭,G18_4_C61,3
운동장,G18_4_C61,3
22,G18_5_C61,5
23,G18_5_C61,5
26,G18_5_C61,5
27,G18_5_C61,5
28,G18_5_C61,5
29,G19_0_C75,7
30,G19_0_C75,7
31,G19_0_C75,7
32,G19_0_C75,7
33,G19_0_C75,7
34,G19_0_C75,7
35,G19_0_C75,7
3,G19_1_C75,8
36,G19_1_C75,8
37,G19_1_C75,8
38,G19_1_C75,8
39,G19_1_C75,8
40,G19_1_C75,8
41,G19_1_C75,8
42,G19_1_C75,8
경찰이 곧 갈거니까 잠시만 기다리세요,G20_0_C77,12
구급차가 곧 갈거니까 잠시만 기다리세요,G20_0_C77,12
그분들이 도착할 때까지 전화 끊으면 안돼요,G20_0_C77,12
금방 119 아저씨들이 올거예요,G20_0_C77,12
금방 구급대원들이 도착할테니 잠시만 기다리세요,G20_0_C77,12
당황하지 마시고 큰 길로 나가세요,G20_0_C77,12
세브란스 병원 진료 예약을 해주세요,G20_0_C77,12
소방차가 곧 갈거니까 잠시만 기다리세요,G20_0_C77,12
저희가 도착할 때까지 계속 통화할 수 있나요?,G20_0_C77,12
조금만 기다리시면 당신을 도와줄 사람들이 도착할 겁니다,G20_0_C77,12
주변에 가까이 가지 마시고 경찰이 올 때까지 기다리세요,G20_0_C77,12
혹시 저희가 출동하는 동안 상황을 지켜봐주실 수 있나요?,G20_0_C77,12
갑판에서 구조를 기다려주세요,G20_1_C77,7
엘리베이터가 갑자기 중간에 멈췄어요,G20_1_C77,7
일단 대피하시고 잠시만 기다려주세요,G20_1_C77,7
잠시만 기다려주세요,G20_1_C77,7
잠시만 주변에 숨어계세요,G20_1_C77,7
전화 끊지 말고 잠시만 기다리세요.,G20_1_C77,7
조금만 진정하세요,G20_1_C77,7
골절,G21_0_C79,6
발,G21_0_C79,6
발가락,G21_0_C79,6
뼈,G21_0_C79,6
유리가 깨져서 발을 다쳤어요,G21_0_C79,6
탈골,G21_0_C79,6
무릎,G21_1_0_C79,9
무릎 인대를 다친 것 같아요,G21_1_0_C79,9
발목,G21_1_0_C79,9
발목을 접질렀어요,G21_1_0_C79,9
어깨,G21_1_0_C79,9
인대,G21_1_0_C79,9
팔꿈치,G21_1_0_C79,9
허리,G21_1_0_C79,9
허벅지,G21_1_0_C79,9
다리,G21_1_1_C79,5
발작,G21_1_1_C79,5
병원,G21_1_1_C79,5
손가락,G21_1_1_C79,5
팔,G21_1_1_C79,5
강북구,G22_0_C82,11
구청,G22_0_C82,11
도봉구,G22_0_C82,11
동대문구,G22_0_C82,11
서대문구,G22_0_C82,11
성동구,G22_0_C82,11
성북구,G22_0_C82,11
은평구,G22_0_C82,11
종로구,G22_0_C82,11
중구,G22_0_C82,11
중랑구,G22_0_C82,11
강남구,G22_1_C82,8
강서구,G22_1_C82,8
관악구,G22_1_C82,8
금천구,G22_1_C82,8
서울시,G22_1_C82,8
서초구,G22_1_C82,8
송파구,G22_1_C82,8
양천구,G22_1_C82,8
갑자기 무너진 건가요?,G23_0_0_C84,9
무슨일이신가요?,G23_0_0_C84,9
방금 발견하셨나요?,G23_0_0_C84,9
비행기 어디에 타고 계세요?,G23_0_0_C84,9
어디서 사고가 일어났죠?,G23_0_0_C84,9
어떻게 떨어졌나요?,G23_0_0_C84,9
어떻게 발견하시게 된거세요?,G23_0_0_C84,9
언제요?,G23_0_0_C84,9
왜 뛰어내리려고 하시는거죠?,G23_0_0_C84,9
남성인가요?,G23_0_1_C84,6
무엇이 필요하신가요?,G23_0_1_C84,6
상황을 설명해 주실 수 있나요?,G23_0_1_C84,6
선생님 이름이 어떻게 되시죠?,G23_0_1_C84,6
이름을 알려줄래요?,G23_0_1_C84,6
친구한테 무슨 문제가 있나요?,G23_0_1_C84,6
어떤 응급상황인가요?,G23_1_C84,7
운전자 분은 괜찮으세요?,G23_1_C84,7
응급조치는 하셨나요?,G23_1_C84,7
지금 괜찮으세요?,G23_1_C84,7
지금 안전한 곳에 계신가요?,G23_1_C84,7
혹시 다치신 분은 없으신가요?,G23_1_C84,7
혹시 사고난 차량 운전자 분은 괜찮으신가요?,G23_1_C84,7
무엇으로 살해했나요?,G23_2_C84,8
어디서 납치된 건지 기억나시나요?,G23_2_C84,8
어떻게 죽었다는거죠?,G23_2_C84,8
언제 아이가 사라졌나요?,G23_2_C84,8
주소가 어떻게 되나요?,G23_2_C84,8
지금 엄마는 어디에 있나요?,G23_2_C84,8
총알이 어디에 맞았나요?,G23_2_C84,8
혹시 차량 번호를 확인 하셨나요?,G23_2_C84,8
남편,G24_0_C88,9
누나,G24_0_C88,9
딸,G24_0_C88,9
아내,G24_0_C88,9
언니,G24_0_C88,9
엄마,G24_0_C88,9
여자친구,G24_0_C88,9
여학생,G24_0_C88,9
할머니,G24_0_C88,9
남자친구,G24_1_C88,10
남학생,G24_1_C88,10
동생,G24_1_C88,10
선생님,G24_1_C88,10
아들,G24_1_C88,10
아빠,G24_1_C88,10
오빠,G24_1_C88,10
친구,G24_1_C88,10
학생,G24_1_C88,10
형,G24_1_C88,10
경찰차,G25_C90,12
고속도로,G25_C90,12
고속도로에서 자동차가 갑자기 멈췄어요,G25_C90,12
교통사고,G25_C90,12
도로,G25_C90,12
어떤 사람이 교통사고를 당했어요,G25_C90,12
자동차,G25_C90,12
차밖,G25_C90,12
차안,G25_C90,12
택시,G25_C90,12
통학버스,G25_C90,12
트랙터,G25_C90,12
옆집 아저씨,G26_0_C91,5
옆집 할아버지,G26_0_C91,5
옆집사람,G26_0_C91,5
윗집사람,G26_0_C91,5
이웃집,G26_0_C91,5
거실,G26_1_C91,12
대문앞,G26_1_C91,12
마당,G26_1_C91,12
부엌,G26_1_C91,12
안방,G26_1_C91,12
앞집,G26_1_C91,12
우리집,G26_1_C91,12
윗집,G26_1_C91,12
집,G26_1_C91,12
집안 어디에 계세요?,G26_1_C91,12
현관,G26_1_C91,12
현관앞,G26_1_C91,12
